timestamps,EC1_Compressor_Running_Speed,AC_Set_Speed,AC_Enable_Disable_Compressor,AcDrvrIsRunOk
0.0,0.0,0,0,0
0.09999999999999432,0.0,0,0,0
0.19999999999998863,0.0,0,0,0
0.30000000000001137,0.0,0,0,0
0.4000000000000057,0.0,0,0,0
0.5,0.0,0,0,0
0.5999999999999943,0.0,0,0,0
0.6999999999999886,0.0,0,0,0
0.8000000000000114,0.0,0,0,0
0.9000000000000057,0.0,0,0,0
1.0,0.0,0,0,0
1.0999999999999943,0.0,0,0,0
1.1999999999999886,0.0,0,0,0
1.3000000000000114,0.0,0,0,0
1.4000000000000057,0.0,0,0,0
1.5,0.0,0,0,0
1.5999999999999943,0.0,0,0,0
1.6999999999999886,0.0,0,0,0
1.8000000000000114,0.0,0,0,0
1.9000000000000057,0.0,0,0,0
2.0,0.0,0,0,0
2.0999999999999943,0.0,0,0,0
2.1999999999999886,0.0,0,0,0
2.3000000000000114,0.0,0,0,0
2.4000000000000057,0.0,0,0,0
2.5,0.0,0,0,0
2.5999999999999943,0.0,0,0,0
2.6999999999999886,0.0,0,0,0
2.8000000000000114,0.0,0,0,0
2.9000000000000057,0.0,0,0,0
3.0,0.0,0,0,0
3.0999999999999943,0.0,0,0,0
3.1999999999999886,0.0,0,0,0
3.3000000000000114,0.0,0,0,0
3.4000000000000057,0.0,0,0,0
3.5,0.0,0,0,0
3.5999999999999943,0.0,0,0,0
3.6999999999999886,0.0,0,0,0
3.8000000000000114,0.0,0,0,0
3.9000000000000057,0.0,0,0,0
4.0,0.0,0,0,0
4.099999999999994,0.0,0,0,0
4.199999999999989,0.0,0,0,0
4.300000000000011,0.0,0,0,0
4.400000000000006,0.0,0,0,0
4.5,0.0,0,0,0
4.599999999999994,0.0,0,0,0
4.699999999999989,0.0,0,0,0
4.800000000000011,0.0,0,0,0
4.900000000000006,0.0,0,0,0
5.0,0.0,0,0,0
5.099999999999994,0.0,0,0,0
5.199999999999989,0.0,0,0,0
5.300000000000011,0.0,0,0,0
5.400000000000006,0.0,0,0,0
5.5,0.0,0,0,0
5.599999999999994,0.0,0,0,0
5.699999999999989,0.0,0,0,0
5.800000000000011,0.0,0,0,0
5.900000000000006,0.0,0,0,0
6.0,0.0,0,0,0
6.099999999999994,0.0,0,0,0
6.199999999999989,0.0,0,0,0
6.300000000000011,0.0,0,0,0
6.400000000000006,0.0,0,0,0
6.5,0.0,0,0,0
6.599999999999994,0.0,0,0,0
6.699999999999989,0.0,0,0,0
6.800000000000011,0.0,0,0,0
6.900000000000006,0.0,0,0,0
7.0,0.0,0,0,0
7.099999999999994,0.0,0,0,0
7.199999999999989,0.0,0,0,0
7.300000000000011,0.0,0,0,0
7.400000000000006,0.0,0,0,0
7.5,0.0,0,0,0
7.599999999999994,0.0,0,0,0
7.699999999999989,0.0,0,0,0
7.800000000000011,0.0,0,0,0
7.900000000000006,0.0,0,0,0
8.0,0.0,0,0,0
8.099999999999994,0.0,0,0,0
8.199999999999989,0.0,0,0,0
8.300000000000011,0.0,0,0,0
8.400000000000006,0.0,0,0,0
8.5,0.0,0,0,0
8.599999999999994,0.0,0,0,0
8.699999999999989,0.0,0,0,0
8.800000000000011,0.0,0,0,0
8.900000000000006,0.0,0,0,0
9.0,0.0,0,0,0
9.099999999999994,0.0,0,0,0
9.199999999999989,0.0,0,0,0
9.300000000000011,0.0,0,0,0
9.400000000000006,0.0,0,0,0
9.5,0.0,0,0,0
9.599999999999994,0.0,0,0,0
9.699999999999989,0.0,0,0,0
9.800000000000011,0.0,0,0,0
9.900000000000006,0.0,0,0,0
10.0,0.0,0,0,0
10.099999999999994,0.0,0,0,0
10.199999999999989,0.0,0,0,0
10.300000000000011,0.0,0,0,0
10.400000000000006,0.0,0,0,0
10.5,0.0,0,0,0
10.599999999999994,0.0,0,0,0
10.699999999999989,0.0,0,0,0
10.800000000000011,0.0,0,0,0
10.900000000000006,0.0,0,0,0
11.0,0.0,0,0,0
11.099999999999994,0.0,0,0,0
11.199999999999989,0.0,0,0,0
11.300000000000011,0.0,0,0,0
11.400000000000006,0.0,0,0,0
11.5,0.0,0,0,0
11.599999999999994,0.0,0,0,0
11.699999999999989,0.0,0,0,0
11.800000000000011,0.0,0,0,0
11.900000000000006,0.0,0,0,0
12.0,0.0,0,0,0
12.099999999999994,0.0,0,0,0
12.199999999999989,0.0,0,0,0
12.300000000000011,0.0,0,0,0
12.400000000000006,0.0,0,0,0
12.5,0.0,0,0,0
12.599999999999994,0.0,0,0,0
12.699999999999989,0.0,0,0,0
12.800000000000011,0.0,0,0,0
12.900000000000006,0.0,0,0,0
13.0,0.0,0,0,0
13.099999999999994,0.0,0,0,0
13.199999999999989,0.0,0,0,0
13.300000000000011,0.0,0,0,0
13.400000000000006,0.0,0,0,0
13.5,0.0,0,0,0
13.599999999999994,0.0,0,0,0
13.699999999999989,0.0,0,0,0
13.800000000000011,0.0,0,0,0
13.900000000000006,0.0,0,0,0
14.0,0.0,1007,1,0
14.099999999999994,196.0,1075,1,0
14.199999999999989,1722.0,1075,1,0
14.300000000000011,681.5,1075,1,1
14.400000000000006,186.5,1075,1,1
14.5,177.0,1075,1,1
14.599999999999994,211.5,1075,1,1
14.699999999999989,266.0,1075,1,1
14.800000000000011,316.0,1075,1,1
14.900000000000006,373.5,1075,1,1
15.0,419.5,1075,1,1
15.099999999999994,473.0,1075,1,1
15.199999999999989,525.0,1075,1,1
15.300000000000011,583.5,1075,1,1
15.400000000000006,639.0,1075,1,1
15.5,698.5,1075,1,1
15.599999999999994,753.0,1075,1,1
15.699999999999989,812.5,1075,1,1
15.800000000000011,867.0,1075,1,1
15.900000000000006,924.0,1075,1,1
16.0,988.0,1075,1,1
16.099999999999994,1050.0,1075,1,1
16.19999999999999,1124.5,1075,1,1
16.30000000000001,1200.5,1075,1,1
16.400000000000006,1295.0,1075,1,1
16.5,1364.0,1075,1,1
16.599999999999994,1451.0,1075,1,1
16.69999999999999,1535.5,1075,1,1
16.80000000000001,1540.5,1075,1,1
16.900000000000006,1438.0,1075,1,1
17.0,1340.0,1075,1,1
17.099999999999994,1260.0,1075,1,1
17.19999999999999,1188.0,1075,1,1
17.30000000000001,1118.5,1075,1,1
17.400000000000006,1061.0,1075,1,1
17.5,1065.0,1075,1,1
17.599999999999994,1069.5,1075,1,1
17.69999999999999,1075.0,1075,1,1
17.80000000000001,1076.0,1075,1,1
17.900000000000006,1071.5,1075,1,1
18.0,1071.5,1075,1,1
18.099999999999994,1076.0,1075,1,1
18.19999999999999,1077.0,1075,1,1
18.30000000000001,1072.5,1075,1,1
18.400000000000006,1072.0,1075,1,1
18.5,1076.0,1075,1,1
18.599999999999994,1077.0,1075,1,1
18.69999999999999,1071.0,1075,1,1
18.80000000000001,1072.0,1075,1,1
18.900000000000006,1076.0,1075,1,1
19.0,1075.0,1075,1,1
19.099999999999994,1071.0,1142,1,1
19.19999999999999,1073.0,1217,1,1
19.30000000000001,1091.0,1292,1,1
19.400000000000006,1166.0,1367,1,1
19.5,1239.5,1442,1,1
19.599999999999994,1311.5,1517,1,1
19.69999999999999,1381.5,1592,1,1
19.80000000000001,1453.0,1667,1,1
19.900000000000006,1529.5,1742,1,1
20.0,1599.5,1817,1,1
20.099999999999994,1668.5,1892,1,1
20.19999999999999,1740.5,1967,1,1
20.30000000000001,1813.0,2042,1,1
20.400000000000006,1886.0,2117,1,1
20.5,1953.0,2192,1,1
20.599999999999994,2020.0,2267,1,1
20.69999999999999,2093.5,2342,1,1
20.80000000000001,2166.5,2417,1,1
20.900000000000006,2250.0,2492,1,1
21.0,2382.5,2567,1,1
21.099999999999994,2453.0,2642,1,1
21.19999999999999,2525.5,2717,1,1
21.30000000000001,2596.5,2792,1,1
21.400000000000006,2667.0,2867,1,1
21.5,2739.5,2942,1,1
21.599999999999994,2810.5,3017,1,1
21.69999999999999,2880.0,3092,1,1
21.80000000000001,2952.0,3167,1,1
21.900000000000006,3023.5,3242,1,1
22.0,3094.5,3317,1,1
22.099999999999994,3165.0,3392,1,1
22.19999999999999,3238.5,3467,1,1
22.30000000000001,3309.0,3542,1,1
22.400000000000006,3381.5,3617,1,1
22.5,3451.5,3653,1,1
22.599999999999994,3522.0,3657,1,1
22.69999999999999,3593.5,3664,1,1
22.80000000000001,3658.5,3670,1,1
22.900000000000006,3672.5,3686,1,1
23.0,3678.5,3709,1,1
23.099999999999994,3695.5,3738,1,1
23.19999999999999,3721.5,3771,1,1
23.30000000000001,3753.5,3808,1,1
23.400000000000006,3787.0,3847,1,1
23.5,3824.5,3882,1,1
23.599999999999994,3864.5,3914,1,1
23.69999999999999,3897.5,3946,1,1
23.80000000000001,3929.5,3977,1,1
23.900000000000006,3960.5,4009,1,1
24.0,3993.0,4042,1,1
24.099999999999994,4023.5,4075,1,1
24.19999999999999,4056.5,4107,1,1
24.30000000000001,4091.0,4138,1,1
24.400000000000006,4122.5,4171,1,1
24.5,4154.5,4206,1,1
24.599999999999994,4186.0,4240,1,1
24.69999999999999,4222.5,4271,1,1
24.80000000000001,4255.5,4303,1,1
24.900000000000006,4287.5,4336,1,1
25.0,4318.5,4370,1,1
25.099999999999994,4351.5,4402,1,1
25.19999999999999,4384.5,4435,1,1
25.30000000000001,4416.5,4468,1,1
25.400000000000006,4451.5,4503,1,1
25.5,4483.0,4535,1,1
25.599999999999994,4519.0,4561,1,1
25.69999999999999,4549.0,4584,1,1
25.80000000000001,4575.0,4622,1,1
25.900000000000006,4597.5,4664,1,1
26.0,4640.5,4698,1,1
26.099999999999994,4683.5,4731,1,1
26.19999999999999,4714.5,4763,1,1
26.30000000000001,4745.5,4798,1,1
26.400000000000006,4777.5,4827,1,1
26.5,4810.5,4857,1,1
26.599999999999994,4842.0,4889,1,1
26.69999999999999,4872.5,4924,1,1
26.80000000000001,4905.0,4955,1,1
26.900000000000006,4940.0,4989,1,1
27.0,4970.5,5021,1,1
27.099999999999994,5003.0,5045,1,1
27.19999999999999,5036.5,5072,1,1
27.30000000000001,5059.0,5112,1,1
27.400000000000006,5086.0,5150,1,1
27.5,5119.5,5186,1,1
27.599999999999994,5122.0,5222,1,1
27.69999999999999,5167.0,5256,1,1
27.80000000000001,5202.0,5290,1,1
27.900000000000006,5238.5,5325,1,1
28.0,5273.5,5357,1,1
28.099999999999994,5307.5,5389,1,1
28.19999999999999,5341.5,5424,1,1
28.30000000000001,5373.5,5455,1,1
28.400000000000006,5405.0,5488,1,1
28.5,5439.5,5522,1,1
28.599999999999994,5470.5,5547,1,1
28.69999999999999,5505.0,5572,1,1
28.80000000000001,5538.0,5611,1,1
28.900000000000006,5558.5,5650,1,1
29.0,5587.0,5687,1,1
29.099999999999994,5630.5,5718,1,1
29.19999999999999,5671.0,5754,1,1
29.30000000000001,5707.0,5783,1,1
29.400000000000006,5735.0,5809,1,1
29.5,5771.0,5838,1,1
29.599999999999994,5796.5,5878,1,1
29.69999999999999,5822.5,5918,1,1
29.80000000000001,5854.5,5951,1,1
29.900000000000006,5897.0,5987,1,1
30.0,5940.0,6020,1,1
30.099999999999994,5968.5,6045,1,1
30.19999999999999,6007.5,6072,1,1
30.30000000000001,6039.0,6107,1,1
30.400000000000006,6057.5,6149,1,1
30.5,6089.5,6188,1,1
30.599999999999994,6124.0,6217,1,1
30.69999999999999,6168.5,6251,1,1
30.80000000000001,6213.0,6279,1,1
30.900000000000006,6269.0,6304,1,1
31.0,6294.5,6331,1,1
31.099999999999994,6318.5,6366,1,1
31.19999999999999,6346.5,6408,1,1
31.30000000000001,6386.0,6444,1,1
31.400000000000006,6430.0,6478,1,1
31.5,6463.5,6510,1,1
31.599999999999994,6496.5,6531,1,1
31.69999999999999,6525.0,6556,1,1
31.80000000000001,6544.5,6591,1,1
31.900000000000006,6571.0,6631,1,1
32.0,6613.0,6670,1,1
32.099999999999994,6654.0,6701,1,1
32.19999999999999,6690.0,6735,1,1
32.30000000000001,6719.0,6764,1,1
32.400000000000006,6752.5,6787,1,1
32.5,6777.5,6812,1,1
32.599999999999994,6801.0,6847,1,1
32.69999999999999,6828.5,6886,1,1
32.80000000000001,6867.0,6926,1,1
32.900000000000006,6909.5,6958,1,1
33.0,6949.0,6989,1,1
33.099999999999994,6976.5,7013,1,1
33.19999999999999,7005.0,7037,1,1
33.30000000000001,7027.0,7067,1,1
33.400000000000006,7055.0,7106,1,1
33.5,7084.0,7142,1,1
33.599999999999994,7128.0,7179,1,1
33.69999999999999,7162.5,7211,1,1
33.80000000000001,7199.5,7237,1,1
33.900000000000006,7229.0,7258,1,1
34.0,7249.5,7284,1,1
34.099999999999994,7271.0,7323,1,1
34.19999999999999,7302.0,7360,1,1
34.30000000000001,7344.0,7397,1,1
34.400000000000006,7381.5,7427,1,1
34.5,7418.5,7456,1,1
34.599999999999994,7444.5,7479,1,1
34.69999999999999,7473.5,7501,1,1
34.80000000000001,7490.5,7531,1,1
34.900000000000006,7515.0,7566,1,1
35.0,7549.0,7598,1,1
35.099999999999994,7585.5,7632,1,1
35.19999999999999,7617.5,7661,1,1
35.30000000000001,7650.0,7692,1,1
35.400000000000006,7679.0,7722,1,1
35.5,7708.0,7752,1,1
35.599999999999994,7741.0,7782,1,1
35.69999999999999,7769.5,7810,1,1
35.80000000000001,7800.0,7839,1,1
35.900000000000006,7826.5,7869,1,1
36.0,7856.5,7897,1,1
36.099999999999994,7886.0,7920,1,1
36.19999999999999,7913.5,7939,1,1
36.30000000000001,7934.0,7969,1,1
36.400000000000006,7953.0,8003,1,1
36.5,7987.5,8035,1,1
36.599999999999994,8023.5,8068,1,1
36.69999999999999,8054.0,8098,1,1
36.80000000000001,8087.5,8123,1,1
36.900000000000006,8116.5,8143,1,1
37.0,8137.5,8162,1,1
37.099999999999994,8155.0,8194,1,1
37.19999999999999,8176.5,8227,1,1
37.30000000000001,8213.0,8258,1,1
37.400000000000006,8236.0,8289,1,1
37.5,8222.5,8319,1,1
37.599999999999994,8237.5,8340,1,1
37.69999999999999,8319.5,8361,1,1
37.80000000000001,8339.0,8385,1,1
37.900000000000006,8352.5,8416,1,1
38.0,8374.0,8451,1,1
38.099999999999994,8402.0,8485,1,1
38.19999999999999,8435.5,8500,1,1
38.30000000000001,8473.5,8499,1,1
38.400000000000006,8501.5,8500,1,1
38.5,8500.0,8500,1,1
38.599999999999994,8494.0,8500,1,1
38.69999999999999,8498.0,8500,1,1
38.80000000000001,8498.0,8500,1,1
38.900000000000006,8498.5,8500,1,1
39.0,8497.0,8500,1,1
39.099999999999994,8499.0,8500,1,1
39.19999999999999,8498.5,8500,1,1
39.30000000000001,8498.0,8500,1,1
39.400000000000006,8498.5,8500,1,1
39.5,8497.0,8500,1,1
39.599999999999994,8500.5,8500,1,1
39.69999999999999,8498.0,8500,1,1
39.80000000000001,8498.5,8500,1,1
39.900000000000006,8498.0,8500,1,1
40.0,8499.5,8500,1,1
40.099999999999994,8498.5,8500,1,1
40.19999999999999,8498.0,8500,1,1
40.30000000000001,8500.0,8500,1,1
40.400000000000006,8499.5,8500,1,1
40.5,8497.0,8500,1,1
40.599999999999994,8499.5,8500,1,1
40.69999999999999,8498.5,8500,1,1
40.80000000000001,8497.0,8500,1,1
40.900000000000006,8500.5,8500,1,1
41.0,8499.0,8500,1,1
41.099999999999994,8498.5,8500,1,1
41.19999999999999,8498.0,8500,1,1
41.30000000000001,8500.0,8500,1,1
41.400000000000006,8499.5,8500,1,1
41.5,8499.0,8500,1,1
41.599999999999994,8500.0,8500,1,1
41.69999999999999,8500.0,8500,1,1
41.80000000000001,8500.0,8500,1,1
41.900000000000006,8500.0,8500,1,1
42.0,8499.5,8500,1,1
42.099999999999994,8499.0,8500,1,1
42.19999999999999,8498.5,8500,1,1
42.30000000000001,8498.0,8500,1,1
42.400000000000006,8499.5,8500,1,1
42.5,8497.0,8500,1,1
42.599999999999994,8498.0,8500,1,1
42.69999999999999,8498.0,8500,1,1
42.80000000000001,8498.0,8500,1,1
42.900000000000006,8500.0,8500,1,1
43.0,8496.0,8500,1,1
43.099999999999994,8499.0,8447,1,1
43.19999999999999,8485.0,8372,1,1
43.30000000000001,8406.5,8297,1,1
43.400000000000006,8339.5,8222,1,1
43.5,8266.0,8147,1,1
43.599999999999994,8197.5,8072,1,1
43.69999999999999,8125.0,7997,1,1
43.80000000000001,8060.0,7922,1,1
43.900000000000006,7984.5,7847,1,1
44.0,7913.0,7772,1,1
44.099999999999994,7845.0,7697,1,1
44.19999999999999,7774.5,7622,1,1
44.30000000000001,7701.0,7547,1,1
44.400000000000006,7626.5,7472,1,1
44.5,7560.5,7397,1,1
44.599999999999994,7489.0,7322,1,1
44.69999999999999,7415.0,7247,1,1
44.80000000000001,7345.5,7172,1,1
44.900000000000006,7274.5,7097,1,1
45.0,7202.5,7022,1,1
45.099999999999994,7129.5,6947,1,1
45.19999999999999,7058.5,6872,1,1
45.30000000000001,6991.5,6797,1,1
45.400000000000006,6919.5,6722,1,1
45.5,6845.5,6647,1,1
45.599999999999994,6773.5,6572,1,1
45.69999999999999,6707.0,6497,1,1
45.80000000000001,6636.0,6422,1,1
45.900000000000006,6562.0,6347,1,1
46.0,6491.5,6272,1,1
46.099999999999994,6418.5,6197,1,1
46.19999999999999,6347.0,6122,1,1
46.30000000000001,6278.5,6047,1,1
46.400000000000006,6206.5,5972,1,1
46.5,6133.0,5897,1,1
46.599999999999994,6064.0,5822,1,1
46.69999999999999,5996.5,5747,1,1
46.80000000000001,5923.0,5672,1,1
46.900000000000006,5848.5,5597,1,1
47.0,5778.0,5522,1,1
47.099999999999994,5708.5,5447,1,1
47.19999999999999,5636.0,5372,1,1
47.30000000000001,5566.5,5297,1,0
47.400000000000006,5495.5,5222,1,0
47.5,5424.0,5147,1,0
47.599999999999994,5353.0,5072,1,0
47.69999999999999,5280.0,4997,1,0
47.80000000000001,5211.0,4922,1,0
47.900000000000006,5140.5,4847,1,0
48.0,5063.0,4772,1,0
48.099999999999994,4995.0,4697,1,0
48.19999999999999,4925.5,4622,1,0
48.30000000000001,4852.5,4547,1,0
48.400000000000006,4781.0,4472,1,0
48.5,4708.0,4397,1,0
48.599999999999994,4640.0,4322,1,0
48.69999999999999,4572.0,4247,1,0
48.80000000000001,4498.5,4172,1,0
48.900000000000006,4427.0,4097,1,0
49.0,4357.5,4022,1,0
49.099999999999994,4281.0,3947,1,0
49.19999999999999,4212.5,3872,1,0
49.30000000000001,4142.0,3797,1,0
49.400000000000006,4070.0,3722,1,0
49.5,4000.5,3647,1,0
49.599999999999994,3924.5,3572,1,0
49.69999999999999,3856.0,3497,1,0
49.80000000000001,3786.5,3422,1,0
49.900000000000006,3716.5,3347,1,0
50.0,3642.5,3272,1,0
50.099999999999994,3572.0,3197,1,0
50.19999999999999,3503.0,3122,1,0
50.30000000000001,3429.0,3047,1,0
50.400000000000006,3356.5,2972,1,0
50.5,3285.0,2897,1,0
50.599999999999994,3216.0,2822,1,0
50.69999999999999,3134.0,2747,1,0
50.80000000000001,3001.0,2672,1,0
50.900000000000006,2933.0,2597,1,0
51.0,2859.5,2522,1,0
51.099999999999994,2787.0,2447,1,0
51.19999999999999,2719.5,2372,1,0
51.30000000000001,2646.5,2297,1,0
51.400000000000006,2570.0,2222,1,0
51.5,2496.5,2147,1,0
51.599999999999994,2426.0,2072,1,0
51.69999999999999,2360.5,2063,1,0
51.80000000000001,2297.0,2138,1,0
51.900000000000006,2230.0,2213,1,0
52.0,2182.5,2288,1,1
52.099999999999994,2232.0,2363,1,1
52.19999999999999,2317.0,2438,1,1
52.30000000000001,2386.0,2513,1,1
52.400000000000006,2457.0,2588,1,1
52.5,2533.0,2663,1,1
52.599999999999994,2602.5,2738,1,1
52.69999999999999,2671.0,2813,1,1
52.80000000000001,2746.5,2888,1,1
52.900000000000006,2813.5,2957,1,1
53.0,2885.5,2989,1,1
53.099999999999994,2956.0,3018,1,1
53.19999999999999,3015.0,3045,1,1
53.30000000000001,3033.0,3070,1,1
53.400000000000006,3056.0,3108,1,1
53.5,3082.0,3144,1,1
53.599999999999994,3123.0,3178,1,1
53.69999999999999,3162.5,3223,1,1
53.80000000000001,3197.5,3272,1,1
53.900000000000006,3241.0,3314,1,1
54.0,3294.0,3369,1,1
54.099999999999994,3336.0,3412,1,1
54.19999999999999,3393.5,3462,1,1
54.30000000000001,3432.5,3508,1,1
54.400000000000006,3482.5,3550,1,1
54.5,3529.0,3550,1,1
54.599999999999994,3556.0,3550,1,1
54.69999999999999,3552.5,3550,1,1
54.80000000000001,3549.5,3550,1,1
54.900000000000006,3548.0,3550,1,1
55.0,3548.5,3550,1,1
55.099999999999994,3547.0,3550,1,1
55.19999999999999,3549.0,3550,1,1
55.30000000000001,3551.5,3550,1,1
55.400000000000006,3551.0,3550,1,1
55.5,3550.5,3550,1,1
55.599999999999994,3549.0,3550,1,1
55.69999999999999,3549.0,3550,1,1
55.80000000000001,3549.0,3550,1,1
55.900000000000006,3549.0,3550,1,1
56.0,3549.0,3550,1,1
56.099999999999994,3551.0,3550,1,1
56.19999999999999,3550.5,3550,1,1
56.30000000000001,3549.5,3550,1,1
56.400000000000006,3548.5,3550,1,1
56.5,3548.0,3550,1,1
56.599999999999994,3549.0,3550,1,1
56.69999999999999,3550.0,3550,1,1
56.80000000000001,3552.5,3550,1,1
56.900000000000006,3551.0,3550,1,1
57.0,3550.0,3550,1,1
57.099999999999994,3547.0,3550,1,1
57.19999999999999,3548.0,3550,1,1
57.30000000000001,3548.0,3550,1,1
57.400000000000006,3548.5,3550,1,1
57.5,3552.0,3550,1,1
57.599999999999994,3551.5,3550,1,1
57.69999999999999,3550.5,3550,1,1
57.80000000000001,3549.0,3550,1,1
57.900000000000006,3548.5,3550,1,1
58.0,3548.0,3550,1,1
58.099999999999994,3550.0,3550,1,1
58.19999999999999,3550.0,3550,1,1
58.30000000000001,3551.0,3550,1,1
58.400000000000006,3551.0,3550,1,1
58.5,3548.0,3550,1,1
58.599999999999994,3547.5,3550,1,1
58.69999999999999,3547.0,3550,1,1
58.80000000000001,3550.0,3550,1,1
58.900000000000006,3551.0,3550,1,1
59.0,3550.5,3550,1,1
59.099999999999994,3549.0,3550,1,1
59.19999999999999,3548.5,3550,1,1
59.30000000000001,3548.0,3550,1,1
59.400000000000006,3548.0,3550,1,1
59.5,3550.0,3550,1,1
59.599999999999994,3551.0,3550,1,1
59.69999999999999,3551.5,3550,1,1
59.80000000000001,3549.0,3550,1,1
59.900000000000006,3549.5,3550,1,1
60.0,3548.5,3550,1,1
60.099999999999994,3548.0,3550,1,1
60.19999999999999,3549.0,3550,1,1
60.30000000000001,3550.0,3550,1,1
60.400000000000006,3551.5,3550,1,1
60.5,3550.0,3550,1,1
60.599999999999994,3550.0,3550,1,1
60.69999999999999,3547.0,3550,1,1
60.80000000000001,3550.0,3550,1,1
60.900000000000006,3550.0,3550,1,1
61.0,3551.5,3550,1,1
61.099999999999994,3549.0,3550,1,1
61.19999999999999,3549.5,3550,1,1
61.30000000000001,3547.0,3550,1,1
61.400000000000006,3548.5,3550,1,1
61.5,3548.0,3550,1,1
61.599999999999994,3550.0,3550,1,1
61.69999999999999,3551.0,3550,1,1
61.80000000000001,3550.5,3550,1,1
61.900000000000006,3549.0,3550,1,1
62.0,3548.5,3550,1,1
62.099999999999994,3547.0,3550,1,1
62.19999999999999,3550.0,3550,1,1
62.30000000000001,3550.0,3550,1,1
62.400000000000006,3550.5,3550,1,1
62.5,3550.0,3550,1,1
62.599999999999994,3549.5,3550,1,1
62.69999999999999,3547.0,3550,1,1
62.80000000000001,3548.5,3550,1,1
62.900000000000006,3548.0,3550,1,1
63.0,3550.0,3550,1,1
63.099999999999994,3551.0,3550,1,1
63.19999999999999,3551.5,3550,1,1
63.30000000000001,3548.5,3550,1,1
63.400000000000006,3547.5,3550,1,1
63.5,3547.0,3550,1,1
63.599999999999994,3550.0,3550,1,1
